61;36;9;53;12;45;57;59;15;44;45;52;45;7;39;36;51;45;62;49;46;41;43
62;39;10;54;14;45;57;60;16;57;49;54;41;9;37;39;52;45;62;54;46;43;45
40;18;7;36;9;30;37;62;12;47;40;52;32;3;28;18;50;47;46;51;48;43;45
39;18;5;36;9;30;37;58;12;48;40;50;32;3;28;18;49;47;44;50;48;43;45
39;19;7;36;10;30;37;57;12;48;40;50;30;3;28;18;47;47;43;50;48;43;45
38;19;7;35;10;30;37;57;12;50;39;50;30;3;28;18;47;47;43;50;48;44;45
37;21;10;36;16;32;34;52;14;61;43;54;30;10;25;19;55;47;44;51;50;45;46
38;25;19;36;19;46;34;48;18;65;60;66;32;16;27;25;65;49;49;63;57;61;55
38;25;18;33;18;46;34;47;17;58;58;66;30;16;27;23;64;49;46;62;59;61;55
37;23;18;33;18;46;32;46;17;57;58;66;30;16;27;23;63;48;44;61;59;59;54
36;23;18;32;18;46;32;45;17;57;57;66;30;16;27;23;61;48;43;61;57;57;54
34;21;19;31;14;45;30;42;17;55;51;61;30;16;27;21;54;46;41;58;52;53;52
34;21;19;31;14;41;30;41;17;55;49;57;30;16;27;21;54;46;40;58;52;52;54
33;21;19;30;14;41;30;40;16;55;48;57;30;16;27;21;53;46;39;58;54;52;54
32;21;19;30;12;37;30;40;16;57;47;55;28;16;27;21;52;46;38;55;52;51;50
32;21;19;29;12;37;30;39;15;58;47;55;28;16;27;21;51;46;38;54;52;51;50
30;19;19;27;10;30;27;35;15;57;42;54;25;18;25;19;50;43;35;51;52;47;46
30;19;19;26;10;30;27;34;15;57;41;54;25;18;25;19;49;43;35;51;48;46;46
30;19;19;26;10;30;27;34;15;60;39;52;25;19;23;18;47;43;34;50;46;44;45
32;19;19;26;16;34;27;36;17;62;37;48;25;19;23;19;50;43;36;50;46;42;45
33;18;21;27;18;36;27;36;18;63;41;52;25;19;23;19;53;43;38;53;46;42;45
35;18;21;27;18;36;27;38;22;63;45;54;25;21;23;19;58;43;40;56;48;45;45
38;18;23;28;18;45;30;40;23;66;54;59;25;21;25;19;61;44;45;61;52;51;46
41;18;23;28;19;46;30;41;24;68;54;61;25;23;25;19;61;44;48;63;52;55;46
42;16;23;29;19;46;30;42;24;68;57;61;25;23;25;19;64;45;50;62;52;57;46
45;16;21;30;18;52;30;41;25;70;60;63;27;23;25;18;65;46;53;60;54;59;48
45;16;21;30;18;52;30;40;25;70;60;63;27;23;25;16;65;47;53;61;54;59;48
41;18;21;30;16;52;30;37;20;67;60;61;27;21;25;18;64;47;49;60;57;59;48
39;18;21;30;16;50;30;37;19;67;59;57;27;21;27;18;62;47;47;58;57;57;48
38;18;21;30;16;50;30;37;18;65;56;57;27;21;27;18;59;47;45;57;55;56;46
34;18;21;30;16;45;30;36;18;55;52;55;25;23;25;19;54;46;43;55;54;51;46
32;18;21;30;14;43;30;36;17;52;51;55;25;21;23;19;52;46;41;54;52;48;46
30;18;18;29;14;41;28;35;12;46;44;54;21;18;19;19;49;46;37;51;50;46;46
30;18;19;29;12;39;28;35;12;45;42;54;19;16;18;19;48;46;36;50;50;47;46
30;18;19;29;12;39;28;34;12;45;41;54;19;16;18;18;49;46;35;50;48;48;46
29;9;18;30;12;39;30;34;11;41;38;50;19;14;16;14;47;46;34;50;46;48;46
30;19;18;33;19;39;30;35;20;41;39;46;25;16;18;19;50;46;33;48;48;47;46
31;25;25;34;21;45;32;36;25;41;48;52;30;19;28;25;60;47;35;56;50;49;46
32;25;27;35;21;48;34;36;25;41;53;57;32;23;32;25;63;48;36;57;50;52;48
34;27;27;35;21;48;34;39;27;41;56;57;32;23;32;25;65;49;37;59;52;54;48
35;28;28;39;25;54;34;40;29;41;60;64;36;25;36;28;67;51;37;61;52;57;48
34;28;28;43;27;54;34;41;30;41;60;64;36;25;37;30;66;52;39;61;54;59;48
35;28;28;43;27;57;36;41;29;41;62;66;37;25;36;28;68;52;39;61;54;61;50
33;25;25;35;27;55;36;39;25;44;57;61;34;19;28;25;61;51;37;58;54;57;50
34;25;23;34;25;52;34;39;25;44;53;59;32;19;28;25;57;50;37;56;54;55;48
34;19;23;33;25;52;34;39;24;44;51;59;32;19;28;25;56;49;37;55;54;54;48
34;18;19;32;19;48;32;38;19;42;46;55;30;16;25;23;52;45;38;53;54;51;48
