96.0;0.0444;64.8
92.0;0.0422;64.9
88.0;0.0403;65.1
77.0;0.0373;64.8
85.0;0.0398;64.8
85.0;0.0401;64.6
85.0;0.0395;64.8
86.0;0.0412;64.3
90.0;0.0422;64.3
79.0;0.0382;64.3
86.0;0.0404;64.5
79.0;0.0383;64.3
79.0;0.0383;64.3
74.0;0.0355;64.5
94.0;0.0432;64.5
72.0;0.0349;64.6
79.0;0.0374;64.8
81.0;0.0385;64.7
74.0;0.0356;64.7
75.0;0.0368;64.5
85.0;0.0399;64.5
70.0;0.034;64.6
89.0;0.0412;64.8
79.0;0.0375;64.9
85.0;0.0397;64.8
89.0;0.0414;64.7
77.0;0.0369;64.6
82.0;0.0392;64.5
83.0;0.0395;64.5
75.0;0.0364;64.5
72.0;0.0349;64.6
77.0;0.0362;64.8
72.0;0.0355;64.6
75.0;0.0361;64.7
75.0;0.0359;64.8
70.0;0.0344;64.6
72.0;0.0353;64.6
79.0;0.0376;64.7
77.0;0.0372;64.5
72.0;0.0348;64.6
85.0;0.0401;64.5
82.0;0.039;64.5
81.0;0.0384;64.5
77.0;0.0364;64.7
79.0;0.0374;64.8
88.0;0.0408;64.8
83.0;0.0393;64.7
81.0;0.0387;64.5
83.0;0.0399;64.3
89.0;0.0417;64.2
85.0;0.0397;64.4
86.0;0.0401;64.6
88.0;0.040999999999999995;64.5
85.0;0.0397;64.5
96.0;0.0439;64.6
94.0;0.0427;65.0
99.0;0.0452;64.7
94.0;0.0426;65.1
99.0;0.0446;65.1
85.0;0.0395;64.9
94.0;0.0433;64.7
96.0;0.0444;64.1
110.0;0.0496;63.7
98.0;0.0437;64.4
115.0;0.0515;64.0
119.0;0.0515;64.5
115.0;0.0512;64.2
120.0;0.0523;64.4
117.0;0.0515;64.3
119.0;0.0516;64.6
123.0;0.0537;64.4
123.0;0.0535;64.4
115.0;0.0503;64.4
127.0;0.055999999999999994;63.7
115.0;0.0502;64.6
130.0;0.0564;64.2
130.0;0.0551;65.0
140.0;0.059000000000000004;65.1
134.0;0.0577;64.7
144.0;0.0612;64.6
124.0;0.0536;64.8
156.0;0.0651;65.0
132.0;0.0568;64.9
140.0;0.0595;64.8
143.0;0.0612;64.1
154.0;0.0652;63.9
145.0;0.0613;64.3
140.0;0.061;63.3
160.0;0.0696;62.7
154.0;0.065;63.2
158.0;0.067;63.3
169.0;0.071;63.4
160.0;0.0686;63.2
160.0;0.0682;63.2
173.0;0.0734;63.1
148.0;0.0625;63.7
143.0;0.0607;63.9
155.0;0.0652;64.0
144.0;0.0608;64.2
151.0;0.0646;63.7
147.0;0.062;64.1
152.0;0.0654;63.5
149.0;0.0642;63.3
143.0;0.0603;63.9
151.0;0.0657;63.0
160.0;0.0686;62.7
154.0;0.065;63.2
160.0;0.0678;63.2
162.0;0.0684;63.4
147.0;0.0622;63.7
147.0;0.0628;63.5
154.0;0.065;63.7
152.0;0.0657;63.1
156.0;0.0674;62.8
168.0;0.0706;63.1
168.0;0.0726;62.4
156.0;0.0669;62.7
175.0;0.07400000000000001;62.8
155.0;0.0654;63.4
166.0;0.07;63.4
160.0;0.0689;62.7
147.0;0.0639;62.4
172.0;0.0728;62.7
168.0;0.0719;62.5
151.0;0.0642;63.1
169.0;0.0712;63.2
162.0;0.0686;63.3
176.0;0.0735;63.5
175.0;0.0742;63.1
166.0;0.0708;62.9
175.0;0.07400000000000001;62.9
169.0;0.0726;62.5
169.0;0.07200000000000001;62.6
179.0;0.0759;62.6
192.0;0.0824;62.0
175.0;0.0743;62.3
193.0;0.0818;62.2
202.0;0.0846;62.3
192.0;0.0793;63.1
164.0;0.07;62.8
176.0;0.0774;61.7
189.0;0.0804;61.9
194.0;0.0818;62.3
187.0;0.0818;61.4
160.0;0.0693;61.8
189.0;0.0801;62.0
187.0;0.0789;62.3
183.0;0.077;62.7
177.0;0.0769;62.0
181.0;0.0766;62.2
192.0;0.0807;62.4
206.0;0.08800000000000001;61.9
206.0;0.0852;62.5
189.0;0.078;63.2
166.0;0.0703;63.2
185.0;0.0785;62.7
198.0;0.0847;62.0
169.0;0.0724;62.1
189.0;0.0792;62.5
189.0;0.0804;62.3
176.0;0.0753;62.2
183.0;0.0774;62.4
203.0;0.0847;62.6
186.0;0.079;62.4
192.0;0.0804;62.6
181.0;0.0771;62.3
181.0;0.0772;62.4
171.0;0.0731;62.3
164.0;0.0689;62.9
168.0;0.0711;63.0
169.0;0.0716;63.0
177.0;0.0775;61.9
175.0;0.0743;62.3
173.0;0.0746;62.1
183.0;0.0767;62.7
206.0;0.08800000000000001;62.0
186.0;0.0785;62.3
189.0;0.0787;62.8
179.0;0.075;63.1
181.0;0.0776;62.6
190.0;0.0799;62.7
